IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.166.131,4,4,0.00,194.28,29.47
172.67.79.218,4,4,0.00,194.11,28.48
104.21.20.245,4,4,0.00,194.20,28.18
162.159.160.91,4,4,0.00,182.05,27.22
104.21.22.231,4,4,0.00,193.97,27.20
172.67.65.2,4,4,0.00,194.01,27.00
104.18.37.172,4,4,0.00,193.17,26.63
172.66.46.18,4,4,0.00,193.75,26.52
104.21.16.151,4,4,0.00,194.05,26.15
172.66.40.187,4,4,0.00,194.10,24.96
